split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,BTCUSDT,1h,primary_d1,baseline,always_flat,,base_30bps,0,0,0,0,,,,,,0,,,,NO_TRADES,0,0,0,,,,,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,always_flat,,high_50bps,0,0,0,0,,,,,,0,,,,NO_TRADES,0,0,0,,,,,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,always_flat,,low_20bps,0,0,0,0,,,,,,0,,,,NO_TRADES,0,0,0,,,,,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,12,base_30bps,82,82,0,82,0.43902439024390244,-0.00030728852723858652,0.00056658681708582348,-0.0033018732872243037,-0.0024306156410769941,-0.27389272869745818,0.0344166694804319,-0.28139714351757705,0.75616667752331634,DEFINED,0.0029945847599857174,984,4,-0.025431909861168812,-0.002229134599923755,0.011810162880318109,0.5,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,12,high_50bps,82,82,0,82,0.3902439024390244,-0.00030728852723858652,0.00056658681708582348,-0.0052932796278640643,-0.0044237627575386962,-0.38372235594492288,0.034347904854523478,-0.38887062840040454,0.64012110180058912,DEFINED,0.0049859911006254779,984,4,-0.027379100311389216,-0.0042226842762099681,0.0097885626385988741,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,12,low_20bps,82,82,0,82,0.45121951219512196,-0.00030728852723858652,0.00056658681708582348,-0.0023046760633009741,-0.0014325467232246814,-0.21184260610495698,0.034451103384081118,-0.25521213520811414,0.82264471536429318,DEFINED,0.0019973875360623878,984,4,-0.024456853755449169,-0.0012308641001385462,0.01282247970777054,0.5,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,24,base_30bps,82,82,0,82,0.47560975609756095,0.00079085981254294502,0.0007359689777224343,-0.0022070144565537017,-0.0022617408655905558,-0.23753693082355398,0.046830592694010922,-0.28642585657831487,0.87628127895315444,DEFINED,0.0029978742690966466,1968,4,-0.016200233419292998,-0.0070919361833120444,0.018501469243988954,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,24,high_50bps,82,82,0,82,0.46341463414634149,0.00079085981254294502,0.0007359689777224343,-0.0042006083289636825,-0.0042552253944440066,-0.35286566803257091,0.046737025006135004,-0.35878036826930504,0.77735227455344302,DEFINED,0.0049914681415066282,1968,4,-0.018165868791308992,-0.0090757699650391398,0.016466499748769035,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,24,low_20bps,82,82,0,82,0.47560975609756095,0.00079085981254294502,0.0007359689777224343,-0.0012087218255484365,-0.0012635029883985571,-0.17237999219410782,0.046877446737153536,-0.27277995251892184,0.93026134500914692,DEFINED,0.0019995816380913817,1968,4,-0.015215941014363677,-0.0060985309201611396,0.019520480728481015,0.25,descriptive_non_iid_no_p_value
development,BTCUSDT,1h,primary_d1,baseline,periodic_entry_baseline,4,base_30bps,82,82,0,82,0.40243902439024393,-0.0020407493251639775,-0.0022136071667752666,-0.0050301414942385773,-0.0052024815392787693,-0.35226811544726466,0.022513186211102924,-0.36641562756530532,0.52950382815815633,DEFINED,0.0029893921690745998,328,4,-0.0075712983980953611,-0.0048628193485819341,0.00054935263719119165,0.25,descriptive_non_iid_no_p_value
